"","reth","scheme","sex","year","cause","e0","cause_contribution","cause_contribution_months"
"54","latinx","Masters","male",2018,"Obesity",80.0678568745441,-4.22772241074429,-50.7326689289315
"55","nhw","Masters","female",2019,"Obesity",81.3674518762129,-2.95264817287065,-35.4317780744478
"56","nhw","Masters","male",2019,"Obesity",76.4654828070975,-3.99264011824569,-47.9116814189483
"57","nhb","Masters","female",2019,"Obesity",78.2759667813221,-4.49349659989066,-53.9219591986879
"58","nhb","Masters","male",2019,"Obesity",71.4327785226768,-5.20996129406893,-62.5195355288272
"59","latinx","Masters","female",2019,"Obesity",85.2512385174442,-3.44737102712963,-41.3684523255556
"60","latinx","Masters","male",2019,"Obesity",80.1476677137057,-4.38601237312963,-52.6321484775556
"61","nhw","Masters","female",2020,"Obesity",80.2121747443938,-2.62295133984018,-31.4754160780822
"62","nhw","Masters","male",2020,"Obesity",74.9323460768662,-3.55390275326073,-42.6468330391288
"63","nhb","Masters","female",2020,"Obesity",75.5168175251525,-3.90566654946059,-46.8679985935271
"64","nhb","Masters","male",2020,"Obesity",67.7944462115511,-4.34693125696978,-52.1631750836374
"65","latinx","Masters","female",2020,"Obesity",82.3420817228026,-2.79107730684464,-33.4929276821357
"66","latinx","Masters","male",2020,"Obesity",75.6218487269796,-3.25167426862571,-39.0200912235085
"67","nhw","Acosta","female",2010,"Obesity",81.0958358509852,-0.848366231308987,-10.1803947757078
"68","nhw","Acosta","male",2010,"Obesity",76.3627105101001,-1.09742649924453,-13.1691179909344
"69","nhb","Acosta","female",2010,"Obesity",77.643389616709,-1.40649938285196,-16.8779925942235
"70","nhb","Acosta","male",2010,"Obesity",71.3974880681674,-1.5270288932911,-18.3243467194932
"71","latinx","Acosta","female",2010,"Obesity",84.5704956077972,-1.26421813282035,-15.1706175938442
"72","latinx","Acosta","male",2010,"Obesity",79.6855393094469,-1.54246035908383,-18.509524309006
"73","nhw","Acosta","female",2011,"Obesity",81.0559078234707,-0.853550369763795,-10.2426044371655
"74","nhw","Acosta","male",2011,"Obesity",76.3683150807214,-1.11370020556777,-13.3644024668132
"75","nhb","Acosta","female",2011,"Obesity",77.7747835111895,-1.44845148792409,-17.3814178550891
"76","nhb","Acosta","male",2011,"Obesity",71.691612316504,-1.55754115519164,-18.6904938622997
