"","reth","sex","year","x","nx","mx","px","qx","lx","dx","Lx","Tx","ex","edx","ex_q025","ex_q975","edx_q025","edx_q975"
"1344","nhw","male",2013,30,1,0.00156681501860492,0.998434411795233,0.00156558820476738,0.975686333535385,0.00152752301533576,0.974922372582217,46.7963436883331,47.9624876150179,11.0348639576027,47.9408126544599,47.9875372000893,11.0180651638525,11.0529389283551
"1345","nhw","male",2013,31,1,0.00158577193657877,0.998415484735386,0.00158451526461412,0.97415881052005,0.00154356950542733,0.973386821788205,45.8214213157509,47.0369110466592,10.9776855235717,47.0153311491869,47.0616267734354,10.9610276058137,10.9950354322288
"1346","nhw","male",2013,32,1,0.00157429711073986,0.99842694144492,0.00157305855508016,0.972615241014622,0.00152998072567934,0.971850049931363,44.8480344939627,46.1107667274242,10.9211933625142,46.0886527518452,46.1353022289807,10.9044891582853,10.9387556584409
"1347","nhw","male",2013,33,1,0.00163079346152252,0.998370535559583,0.00162946444041656,0.971085260288943,0.00158234890025355,0.970293870798487,43.8761844440313,45.1826283831928,10.8664820469613,45.1596858653466,45.2060861149283,10.8494835459894,10.8836836022874
"1348","nhw","male",2013,34,1,0.00178492424223198,0.998216667787685,0.00178333221231519,0.969502911388689,0.00172894577181282,0.968638181333025,42.9058905732328,44.2555561919619,10.8112303917515,44.23369693582,44.2787690937389,10.7946008176831,10.8273881800211
"1349","nhw","male",2013,35,1,0.00175036329109768,0.998251167701333,0.00174883229866685,0.967773965616877,0.00169247436887965,0.966927481561995,41.9372523918998,43.3337265537705,10.7523049288006,43.311827317669,43.3568283149493,10.7366906080513,10.7683098730084
"1350","nhw","male",2013,36,1,0.0017979181907891,0.998203697095925,0.00179630290407484,0.966081491247997,0.00173537498830179,0.965213543748693,40.9703249103378,42.4087670465685,10.6960358807283,42.387214799268,42.4313269719737,10.6807857230877,10.7117739775178
"1351","nhw","male",2013,37,1,0.00190091513804049,0.998100890456865,0.00189910954313488,0.964346116259695,0.0018313989122738,0.963430126692371,40.0051113665891,41.4841836266761,10.6397996082004,41.4635537180792,41.5053112150677,10.6241209426428,10.6559942382619
"1352","nhw","male",2013,38,1,0.00191777371486144,0.998084064038163,0.00191593596183659,0.962514717347421,0.00184411656076289,0.961592364350516,39.0416812398968,40.562165477834,10.5819884611905,40.5411722326719,40.5841725569528,10.5666493626057,10.5982661136411
"1353","nhw","male",2013,39,1,0.00206230083611875,0.997939824245147,0.00206017575485273,0.960670600786659,0.00197915028014051,0.959680685513014,38.0800888755462,39.6390696710858,10.5253240928272,39.6176122402405,39.6603450835519,10.5101796680929,10.5406580002492
